,PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ID,Prediction
0,973,1,"Straus, Mr. Isidor",male,67.0,1,0,PC 17483,221.7792,C55 C57,S,5,0
1,1094,1,"Astor, Col. John Jacob",male,47.0,1,0,PC 17757,227.525,C62 C64,C,9,0
2,1126,1,"Cumings, Mr. John Bradley",male,39.0,1,0,PC 17599,71.2833,C85,C,10,0
0,1270,1,"Hipkins, Mr. William Edward",male,55.0,0,0,680,50.0,C39,S,3,0
0,1299,1,"Widener, Mr. George Dunton",male,50.0,1,1,113503,211.5,C80,C,13,0
0,942,1,"Smith, Mr. Lucien Philip",male,24.0,1,0,13695,60.0,C31,S,1,0
1,1227,1,"Maguire, Mr. John Edward",male,30.0,0,0,110469,26.0,C106,S,2,0
0,926,1,"Mock, Mr. Philipp Edmund",male,30.0,1,0,13236,57.75,C78,C,1,1
1,960,1,"Tucker, Mr. Gilbert Milligan Jr",male,31.0,0,0,2543,28.5375,C53,C,3,1
2,967,1,"Keeping, Mr. Edwin",male,32.5,0,0,113503,211.5,C132,C,4,1
3,1010,1,"Beattie, Mr. Thomson",male,36.0,0,0,13050,75.2417,C6,C,5,1
4,1023,1,"Gracie, Col. Archibald IV",male,53.0,0,0,113780,28.5,C51,C,6,1
5,1069,1,"Stengel, Mr. Charles Emil Henry",male,54.0,1,0,11778,55.4417,C116,C,7,1
6,1144,1,"Clark, Mr. Walter Miller",male,27.0,1,0,13508,136.7792,C89,C,8,1
7,1162,1,"McCaffry, Mr. Thomas Francis",male,46.0,0,0,13050,75.2417,C6,C,9,1
0,1198,1,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781,151.55,C22 C26,S,1,0
